詞	詞頻	注音	分類	作品名稱
克羅姆	13	ㄎㄜˋ ㄌㄨㄛˊ ㄇㄨˇ	動漫	Dr.STONE新石紀
克羅涅	13	ㄎㄜˋ ㄌㄨㄛˊ ㄋㄧㄝˋ	動漫	約定的夢幻島
克萊	20	ㄎㄜˋ ㄌㄞˊ	動漫	嘆氣的亡靈想隱退
克萊因	18	ㄎㄜˋ ㄌㄞˊ ㄧㄣ	動漫	機動戰士鋼彈SEED
克蕾雅	11	ㄎㄜˋ ㄌㄟˇ ㄧㄚˇ	動漫	BACCANO!大騷動!
克里夫	13	ㄎㄜˋ ㄌㄧˇ ㄈㄨ	動漫	黑執事
克雷佛塞特	13	ㄎㄜˋ ㄌㄟˊ ㄈㄛˊ ㄙㄜˋ ㄊㄜˋ	動漫	PROMARE
克雷夫	11	ㄎㄜˋ ㄌㄟˊ ㄈㄨ	動漫	魔法騎士雷阿斯
克魯茲威巴	13	ㄎㄜˋ ㄌㄨˇ ㄗ ㄨㄟ ㄅㄚ	動漫	驚爆危機
兒島弘道	15	ㄦˊ ㄉㄠˇ ㄏㄨㄥˊ ㄉㄠˋ	動漫	ONE OUTS超智遊戲
內海將	14	ㄋㄟˋ ㄏㄞˇ ㄐㄧㄤ	動漫	SSSS.GRIDMAN
內藤鈴	19	ㄋㄟˋ ㄊㄥˊ ㄌㄧㄥˊ	動漫	龍與雀斑公主
全集中	16	ㄑㄩㄢˊ ㄐㄧˊ ㄓㄨㄥ	動漫	鬼滅之刃
兩儀式	20	ㄌㄧㄤˇ ㄧˊ ㄕˋ	動漫	空之境界
兩津勘吉	24	ㄌㄧㄤˇ ㄐㄧㄣ ㄎㄢ ㄐㄧˊ	動漫	烏龍派出所
兩面宿儺	15	ㄌㄧㄤˇ ㄇㄧㄢˋ ㄙㄨˋ ㄋㄨㄛˊ	動漫	咒術迴戰
八九寺真宵	16	ㄅㄚ ㄐㄧㄡˇ ㄙˋ ㄓㄣ ㄒㄧㄠ	動漫	物語系列
八奈見杏菜	17	ㄅㄚ ㄋㄞˋ ㄐㄧㄢˋ ㄒㄧㄥˋ ㄘㄞˋ	動漫	敗北女角太多了
八尋寧寧	17	ㄅㄚ ㄒㄩㄣˊ ㄋㄧㄥˊ ㄋㄧㄥˊ	動漫	地縛少年花子君
八王子直人	15	ㄅㄚ ㄨㄤˊ ㄗˇ ㄓˊ ㄖㄣˊ	動漫	不要欺負我，長瀞同學
八神光	15	ㄅㄚ ㄕㄣˊ ㄍㄨㄤ	動漫	數碼寶貝大冒險
八神太一	22	ㄅㄚ ㄕㄣˊ ㄊㄞˋ ㄧ	動漫	數碼寶貝大冒險
八神疾風	14	ㄅㄚ ㄕㄣˊ ㄐㄧˊ ㄈㄥ	動漫	魔法少女奈葉
八軒勇吾	20	ㄅㄚ ㄒㄩㄢ ㄩㄥˇ ㄨˊ	動漫	銀之匙
公安九課	13	ㄍㄨㄥ ㄢ ㄐㄧㄡˇ ㄎㄜˋ	動漫	攻殼機動隊
公路車	12	ㄍㄨㄥ ㄌㄨˋ ㄔㄜ	動漫	飆速宅男
六合塚彌生	13	ㄌㄧㄡˋ ㄏㄜˊ ㄓㄨㄥˇ ㄇㄧˊ ㄕㄥ	動漫	PSYCHO-PASS心靈判官
六彌凪	8	ㄌㄧㄡˋ ㄇㄧˊ ㄓˇ	動漫	IDOLiSH7
六文	13	ㄌㄧㄡˋ ㄨㄣˊ	動漫	境界之輪迴
六道輪迴	17	ㄌㄧㄡˋ ㄉㄠˋ ㄌㄨㄣˊ ㄏㄨㄟˊ	動漫	境界之輪迴
六道骸	10	ㄌㄧㄡˋ ㄉㄠˋ ㄏㄞˊ	動漫	家庭教師HITMAN REBORN!
兵藤和尊	15	ㄅㄧㄥ ㄊㄥˊ ㄏㄜˊ ㄗㄨㄣ	動漫	賭博默示錄
再借不難	15	ㄗㄞˋ ㄐㄧㄝˋ ㄅㄨˋ ㄋㄢˊ	動漫	烏龍派出所
冬彌	9	ㄉㄨㄥ ㄇㄧˊ	動漫	記錄的地平線
冬月梓	17	ㄉㄨㄥ ㄩㄝˋ ㄗˇ	動漫	麻辣教師GTO
冬獅郎	10	ㄉㄨㄥ ㄕ ㄌㄤˊ	動漫	BLEACH死神
冰上的尤里	22	ㄅㄧㄥ ㄕㄤˋ ㄉㄜ˙ ㄧㄡˊ ㄌㄧˇ	動漫	冰上的尤里
冰菓	24	ㄅㄧㄥ ㄍㄨㄛˇ	動漫	冰菓
凪誠士郎	17	ㄓˇ ㄔㄥˊ ㄕˋ ㄌㄤˊ	動漫	藍色監獄
凸守早苗	12	ㄊㄨˊ ㄕㄡˇ ㄗㄠˇ ㄇㄧㄠˊ	動漫	中二病也想談戀愛
出口智志	12	ㄔㄨ ㄎㄡˇ ㄓˋ ㄓˋ	動漫	ONE OUTS超智遊戲
出手	20	ㄔㄨ ㄕㄡˇ	動漫	別對映像研出手！
出租女友	12	ㄔㄨ ㄗㄨ ㄋㄩˇ ㄧㄡˇ	動漫	租借女友
出雲風子	15	ㄔㄨ ㄩㄣˊ ㄈㄥ ㄗ˙	動漫	不死不運
刀劍神域	26	ㄉㄠ ㄐㄧㄢˋ ㄕㄣˊ ㄩˋ	動漫	刀劍神域
刃牙	21	ㄖㄣˋ ㄧㄚˊ	動漫	刃牙
初春飾利	17	ㄔㄨ ㄔㄨㄣ ㄕˋ ㄌㄧˋ	動漫	科學超電磁砲
利姆路	23	ㄌㄧˋ ㄇㄨˇ ㄌㄨˋ	動漫	關於我轉生變成史萊姆這檔事
利根川幸雄	17	ㄌㄧˋ ㄍㄣ ㄔㄨㄢ ㄒㄧㄥˋ ㄒㄩㄥˊ	動漫	賭博默示錄
利迪	14	ㄌㄧˋ ㄉㄧˊ	動漫	機動戰士鋼彈UC
到我	19	ㄉㄠˋ ㄨㄛˇ	動漫	天使降臨到我身邊
前原圭一	20	ㄑㄧㄢˊ ㄩㄢˊ ㄍㄨㄟ ㄧ	動漫	寒蟬鳴泣之時
前川未來	11	ㄑㄧㄢˊ ㄔㄨㄢ ㄨㄟˋ ㄌㄞˊ	動漫	偶像大師灰姑娘女孩
前輩	205	ㄑㄧㄢˊ ㄅㄟˋ	動漫	前輩有夠煩
前輩有夠煩	19	ㄑㄧㄢˊ ㄅㄟˋ ㄧㄡˇ ㄍㄡˋ ㄈㄢˊ	動漫	前輩有夠煩
剎那	143	ㄔㄚˋ ㄋㄚˋ	動漫	半妖的夜叉姬
剎那F塞耶	20	ㄔㄚˋ ㄋㄚˋ F ㄙㄜˋ ㄧㄝ	動漫	機動戰士鋼彈00
剛力	14	ㄍㄤ ㄌㄧˋ	動漫	奇巧計程車
剛田猛男	18	ㄍㄤ ㄊㄧㄢˊ ㄇㄥˇ ㄋㄢˊ	動漫	俺物語!!
創作者	317	ㄔㄨㄤˋ ㄗㄨㄛˋ ㄓㄜˇ	動漫	Re:CREATORS
劉昴星	20	ㄌㄧㄡˊ ㄇㄠˇ ㄒㄧㄥ	動漫	中華一番
劉美羅	13	ㄌㄧㄡˊ ㄇㄟˇ ㄌㄨㄛˊ	動漫	高校之神
劍之聖女	10	ㄐㄧㄢˋ ㄓ ㄕㄥˋ ㄋㄩˇ	動漫	哥布林殺手
劍宗次朗	15	ㄐㄧㄢˋ ㄗㄨㄥ ㄘˋ ㄌㄤˇ	動漫	異修羅
劍持勇	17	ㄐㄧㄢˋ ㄔˊ ㄩㄥˇ	動漫	金田一少年之事件簿
加油	13	ㄐㄧㄚ ㄧㄡˊ	動漫	NEW GAME!
加洛提莫斯	17	ㄐㄧㄚ ㄌㄨㄛˋ ㄊㄧˊ ㄇㄛˋ ㄙ	動漫	PROMARE
加納咢	11	ㄐㄧㄚ ㄋㄚˋ ㄜˋ	動漫	拳願阿修羅
加賀靜子	13	ㄐㄧㄚ ㄏㄜˋ ㄐㄧㄥˋ ㄗ˙	動漫	會長是女僕大人
加賀香子	15	ㄐㄧㄚ ㄏㄜˋ ㄒㄧㄤ ㄗ˙	動漫	青春紀行
加速	528	ㄐㄧㄚ ㄙㄨˋ	動漫	加速世界
加速世界	20	ㄐㄧㄚ ㄙㄨˋ ㄕˋ ㄐㄧㄝˋ	動漫	加速世界
助六	15	ㄓㄨˋ ㄌㄧㄡˋ	動漫	昭和元祿落語心中
動感超人	16	ㄉㄨㄥˋ ㄍㄢˇ ㄔㄠ ㄖㄣˊ	動漫	蠟筆小新
動畫製作	12	ㄉㄨㄥˋ ㄏㄨㄚˋ ㄓˋ ㄗㄨㄛˋ	動漫	白箱
勝呂龍士	12	ㄕㄥˋ ㄌㄩˇ ㄌㄨㄥˊ ㄕˋ	動漫	青之驅魔師
勝生勇利	20	ㄕㄥˋ ㄕㄥ ㄩㄥˇ ㄌㄧˋ	動漫	冰上的尤里
化貓	11	ㄏㄨㄚˋ ㄇㄠ	動漫	怪化貓
化野	17	ㄏㄨㄚˋ ㄧㄝˇ	動漫	蟲師
北原伊織	20	ㄅㄟˇ ㄩㄢˊ ㄧ ㄓ	動漫	碧藍之海
北斗神拳	23	ㄅㄟˇ ㄉㄡˇ ㄕㄣˊ ㄑㄩㄢˊ	動漫	北斗神拳
北村元康	11	ㄅㄟˇ ㄘㄨㄣ ㄩㄢˊ ㄎㄤ	動漫	盾之勇者成名錄
北村祐作	13	ㄅㄟˇ ㄘㄨㄣ ㄧㄡˋ ㄗㄨㄛˋ	動漫	龍與虎
北條時行	18	ㄅㄟˇ ㄊㄧㄠˊ ㄕˊ ㄒㄧㄥˊ	動漫	擅長逃跑的殿下
北條沙都子	13	ㄅㄟˇ ㄊㄧㄠˊ ㄕㄚ ㄉㄡ ㄗ˙	動漫	寒蟬鳴泣之時
北白川玉子	18	ㄅㄟˇ ㄅㄞˊ ㄔㄨㄢ ㄩˋ ㄗ˙	動漫	玉子市場
十二生肖	11	ㄕˊ ㄦˋ ㄕㄥ ㄒㄧㄠˋ	動漫	水果籃子
十鬼蛇王馬	18	ㄕˊ ㄍㄨㄟˇ ㄕㄜˊ ㄨㄤˊ ㄇㄚˇ	動漫	拳願阿修羅
千反田愛瑠	19	ㄑㄧㄢ ㄈㄢˇ ㄊㄧㄢˊ ㄞˋ ㄌㄧㄡˊ	動漫	冰菓
千堂武士	12	ㄑㄧㄢ ㄊㄤˊ ㄨˇ ㄕˋ	動漫	第一神拳
千壽村征	12	ㄑㄧㄢ ㄕㄡˋ ㄘㄨㄣ ㄓㄥ	動漫	情色漫畫老師
千年伯爵	11	ㄑㄧㄢ ㄋㄧㄢˊ ㄅㄛˊ ㄐㄩㄝˊ	動漫	驅魔少年
千早瞬平	12	ㄑㄧㄢ ㄗㄠˇ ㄕㄨㄣˋ ㄆㄧㄥˊ	動漫	失憶投捕
千曳辰治	11	ㄑㄧㄢ ㄧˋ ㄔㄣˊ ㄓˋ	動漫	Another
千石撫子	12	ㄑㄧㄢ ㄕˊ ㄈㄨˇ ㄗ˙	動漫	物語系列
千秋真一	18	ㄑㄧㄢ ㄑㄧㄡ ㄓㄣ ㄧ	動漫	交響情人夢
千葉翔太郎	16	ㄑㄧㄢ ㄧㄝˋ ㄒㄧㄤˊ ㄊㄞˋ ㄌㄤˊ	動漫	青之壬生浪
千變萬化	25	ㄑㄧㄢ ㄅㄧㄢˋ ㄨㄢˋ ㄏㄨㄚˋ	動漫	嘆氣的亡靈想隱退
千都	18	ㄑㄧㄢ ㄉㄡ	動漫	少女終末旅行
千頭慎次郎	13	ㄑㄧㄢ ㄊㄡˊ ㄕㄣˋ ㄘˋ ㄌㄤˊ	動漫	龍與雀斑公主
千鳥要	16	ㄑㄧㄢ ㄋㄧㄠˇ ㄧㄠˋ	動漫	驚爆危機
半妖	21	ㄅㄢˋ ㄧㄠ	動漫	半妖的夜叉姬
卍解	15	ㄨㄢˋ ㄐㄧㄝˇ	動漫	BLEACH死神
南千秋	13	ㄋㄢˊ ㄑㄧㄢ ㄑㄧㄡ	動漫	南家三姊妹
南夏奈	15	ㄋㄢˊ ㄒㄧㄚˋ ㄋㄞˋ	動漫	南家三姊妹
南夢芽	14	ㄋㄢˊ ㄇㄥˋ ㄧㄚˊ	動漫	SSSS.DYNAZENON
南家	11	ㄋㄢˊ ㄐㄧㄚ	動漫	南家三姊妹
南家三姊妹	19	ㄋㄢˊ ㄐㄧㄚ ㄙㄢ ㄐㄧㄝˇ ㄇㄟˋ	動漫	南家三姊妹
南小鳥	17	ㄋㄢˊ ㄒㄧㄠˇ ㄋㄧㄠˇ	動漫	Love Live!
南方日鶴	15	ㄋㄢˊ ㄈㄤ ㄖˋ ㄏㄜˋ	動漫	夏日重現
南春香	17	ㄋㄢˊ ㄔㄨㄣ ㄒㄧㄤ	動漫	南家三姊妹
南極	62	ㄋㄢˊ ㄐㄧˊ	動漫	比宇宙更遠的地方
南雲	14	ㄋㄢˊ ㄩㄣˊ	動漫	坂本日常
南雲始	18	ㄋㄢˊ ㄩㄣˊ ㄕˇ	動漫	平凡職業造就世界最強
博士	1018	ㄅㄛˊ ㄕˋ	動漫	日常
卡佳里	15	ㄎㄚˇ ㄐㄧㄚ ㄌㄧˇ	動漫	機動戰士鋼彈SEED
卡塔雷特	15	ㄎㄚˇ ㄊㄚˇ ㄌㄟˊ ㄊㄜˋ	動漫	黃金拼圖
卡多斯	12	ㄎㄚˇ ㄉㄨㄛ ㄙ	動漫	君主·埃爾梅羅二世事件簿
卡夫卡	21	ㄎㄚˇ ㄈㄨ ㄎㄚˇ	動漫	怪獸8號
卡巴雷	12	ㄎㄚˇ ㄅㄚ ㄌㄟˊ	動漫	魔法使的新娘
卡文迪許	13	ㄎㄚˇ ㄨㄣˊ ㄉㄧˊ ㄒㄩˇ	動漫	小魔女學園
卡普羅尼	14	ㄎㄚˇ ㄆㄨˇ ㄌㄨㄛˊ ㄋㄧˊ	動漫	風起
卡特爾	12	ㄎㄚˇ ㄊㄜˋ ㄦˇ	動漫	新機動戰記鋼彈W
卡米那	18	ㄎㄚˇ ㄇㄧˇ ㄋㄚˋ	動漫	天元突破紅蓮螺巖
卡蓮	15	ㄎㄚˇ ㄌㄧㄢˊ	動漫	Code Geass反叛的魯路修
卡蜜拉	13	ㄎㄚˇ ㄇㄧˋ ㄌㄚ	動漫	丹特麗安的書架
卡西法	18	ㄎㄚˇ ㄒㄧ ㄈㄚˇ	動漫	霍爾的移動城堡
卷島裕介	12	ㄐㄩㄢˇ ㄉㄠˇ ㄩˋ ㄐㄧㄝˋ	動漫	飆速宅男
厄卡倫	13	ㄜˋ ㄎㄚˇ ㄌㄨㄣˊ	動漫	膽大黨
厄德	14	ㄜˋ ㄉㄜˊ	動漫	機動戰士鋼彈00
及川徹	11	ㄐㄧˊ ㄔㄨㄢ ㄔㄜˋ	動漫	排球少年
友人帳	26	ㄧㄡˇ ㄖㄣˊ ㄓㄤˋ	動漫	夏目友人帳
受傷	19	ㄕㄡˋ ㄕㄤ	動漫	機巧少女不會受傷
古屋純	10	ㄍㄨˇ ㄨ ㄔㄨㄣˊ	動漫	徒然喜歡你
古戶繪梨花	11	ㄍㄨˇ ㄏㄨˋ ㄏㄨㄟˋ ㄌㄧˊ ㄏㄨㄚ	動漫	海貓鳴泣之時
古手川	16	ㄍㄨˇ ㄕㄡˇ ㄔㄨㄢ	動漫	碧藍之海
古手川千紗	15	ㄍㄨˇ ㄕㄡˇ ㄔㄨㄢ ㄑㄧㄢ ㄕㄚ	動漫	碧藍之海
古手梨花	12	ㄍㄨˇ ㄕㄡˇ ㄌㄧˊ ㄏㄨㄚ	動漫	寒蟬鳴泣之時
古河渚	19	ㄍㄨˇ ㄏㄜˊ ㄓㄨˇ	動漫	CLANNAD
古泉一樹	14	ㄍㄨˇ ㄑㄩㄢˊ ㄧ ㄕㄨˋ	動漫	涼宮春日的憂鬱
古立特	11	ㄍㄨˇ ㄌㄧˋ ㄊㄜˋ	動漫	SSSS.GRIDMAN
古見	24	ㄍㄨˇ ㄐㄧㄢˋ	動漫	古見同學是溝通魯蛇
古見硝子	21	ㄍㄨˇ ㄐㄧㄢˋ ㄒㄧㄠ ㄗ˙	動漫	古見同學是溝通魯蛇
古賀朋繪	15	ㄍㄨˇ ㄏㄜˋ ㄆㄥˊ ㄏㄨㄟˋ	動漫	青春豬頭少年不會夢到兔女郎學姊
古雷溫德	14	ㄍㄨˇ ㄌㄟˊ ㄨㄣ ㄉㄜˊ	動漫	GOSICK
只想告訴你	22	ㄓˇ ㄒㄧㄤˇ ㄍㄠˋ ㄙㄨˋ ㄋㄧˇ	動漫	只想告訴你
只有	16	ㄓˇ ㄧㄡˇ	動漫	名偵探柯南
只殺哥布林	12	ㄓˇ ㄕㄚ ㄍㄜ ㄅㄨˋ ㄌㄧㄣˊ	動漫	哥布林殺手
只野仁人	18	ㄓˇ ㄧㄝˇ ㄖㄣˊ ㄖㄣˊ	動漫	古見同學是溝通魯蛇
叫我達令	12	ㄐㄧㄠˋ ㄨㄛˇ ㄉㄚˊ ㄌㄧㄥˋ	動漫	DARLING in the FRANXX
召喚獸	23	ㄓㄠˋ ㄏㄨㄢˋ ㄕㄡˋ	動漫	笨蛋，測驗，召喚獸
可不是	15	ㄎㄜˇ ㄅㄨˊ ㄕˋ	動漫	刀劍神域
可愛	22	ㄎㄜˇ ㄞˋ	動漫	我的妹妹哪有這麼可愛
可能性之獸	12	ㄎㄜˇ ㄋㄥˊ ㄒㄧㄥˋ ㄓ ㄕㄡˋ	動漫	機動戰士鋼彈UC
可蕾娜	12	ㄎㄜˇ ㄌㄟˇ ㄋㄚˋ	動漫	86－不存在的戰區－
可魯貝洛斯	15	ㄎㄜˇ ㄌㄨˇ ㄅㄟˋ ㄌㄨㄛˋ ㄙ	動漫	庫洛魔法使
史卡雷特	15	ㄕˇ ㄎㄚˇ ㄌㄟˊ ㄊㄜˋ	動漫	FAIRY TAIL魔導少年
史坦菲爾德	11	ㄕˇ ㄊㄢˇ ㄈㄟ ㄦˇ ㄉㄜˊ	動漫	BACCANO!大騷動!
史密斯	15	ㄕˇ ㄇㄧˋ ㄙ	動漫	進擊的巨人
史比勒	13	ㄕˇ ㄅㄧˇ ㄌㄜˋ	動漫	借物少女艾莉緹
史比格	20	ㄕˇ ㄅㄧˇ ㄍㄜˊ	動漫	星際牛仔
史派克	20	ㄕˇ ㄆㄞˋ ㄎㄜˋ	動漫	星際牛仔
史特拉托斯	17	ㄕˇ ㄊㄜˋ ㄌㄚ ㄊㄨㄛ ㄙ	動漫	機動戰士鋼彈00
史特路爾森	10	ㄕˇ ㄊㄜˋ ㄌㄨˋ ㄦˇ ㄙㄣ	動漫	無頭騎士異聞錄DuRaRaRa!!
史瑪特	13	ㄕˇ ㄇㄚˇ ㄊㄜˋ	動漫	嘆氣的亡靈想隱退
史萊姆	25	ㄕˇ ㄌㄞˊ ㄇㄨˇ	動漫	關於我轉生變成史萊姆這檔事
右代宮戰人	17	ㄧㄡˋ ㄉㄞˋ ㄍㄨㄥ ㄓㄢˋ ㄖㄣˊ	動漫	海貓鳴泣之時
右代宮緣壽	13	ㄧㄡˋ ㄉㄞˋ ㄍㄨㄥ ㄩㄢˊ ㄕㄡˋ	動漫	海貓鳴泣之時
司瑛士	14	ㄙ ㄧㄥ ㄕˋ	動漫	食戟之靈
各務原撫子	22	ㄍㄜˋ ㄨˋ ㄩㄢˊ ㄈㄨˇ ㄗ˙	動漫	搖曳露營
吉井明久	20	ㄐㄧˊ ㄐㄧㄥˇ ㄇㄧㄥˊ ㄐㄧㄡˇ	動漫	笨蛋，測驗，召喚獸
吉吉	20	ㄐㄧˊ ㄐㄧˊ	動漫	魔女宅急便
吉岡雙葉	19	ㄐㄧˊ ㄍㄤ ㄕㄨㄤ ㄧㄝˋ	動漫	青春之旅
吉川由紀	13	ㄐㄧˊ ㄔㄨㄢ ㄧㄡˊ ㄐㄧˋ	動漫	堀與宮村
吉爾伽美什	14	ㄐㄧˊ ㄦˇ ㄐㄧㄚ ㄇㄟˇ ㄕㄜˊ	動漫	Fate/Grand Order
吉田一美	14	ㄐㄧˊ ㄊㄧㄢˊ ㄧ ㄇㄟˇ	動漫	灼眼的夏娜
吉田千鶴	13	ㄐㄧˊ ㄊㄧㄢˊ ㄑㄧㄢ ㄏㄜˋ	動漫	只想告訴你
吉田春	15	ㄐㄧˊ ㄊㄧㄢˊ ㄔㄨㄣ	動漫	鄰座的怪同學
吉田芹那	12	ㄐㄧˊ ㄊㄧㄢˊ ㄑㄧㄣˊ ㄋㄚˋ	動漫	我內心的糟糕念頭
吉貝爾	8	ㄐㄧˊ ㄅㄟˋ ㄦˇ	動漫	航海王
同學	27	ㄊㄨㄥˊ ㄒㄩㄝˊ	動漫	月刊少女野崎同學
同學是	23	ㄊㄨㄥˊ ㄒㄩㄝˊ ㄕˋ	動漫	古見同學是溝通魯蛇
名偵探柯南	28	ㄇㄧㄥˊ ㄓㄣ ㄊㄢˋ ㄎㄜ ㄋㄢˊ	動漫	名偵探柯南
名取周一	17	ㄇㄧㄥˊ ㄑㄩˇ ㄓㄡ ㄧ	動漫	夏目友人帳
名義發誓	14	ㄇㄧㄥˊ ㄧˋ ㄈㄚ ㄕˋ	動漫	金田一少年之事件簿
向井戶愛花	15	ㄒㄧㄤˋ ㄐㄧㄥˇ ㄏㄨˋ ㄞˋ ㄏㄨㄚ	動漫	來自風平浪靜的明日
君主	21	ㄐㄩㄣ ㄓㄨˇ	動漫	君主·埃爾梅羅二世事件簿
君嶋綾乃	11	ㄐㄩㄣ ㄉㄠˇ ㄌㄧㄥˊ ㄋㄞˇ	動漫	不時輕聲地以俄語遮羞的鄰座艾莉同學
否定者	11	ㄈㄡˇ ㄉㄧㄥˋ ㄓㄜˇ	動漫	不死不運
吸血鬼	72	ㄒㄧ ㄒㄧㄝˇ ㄍㄨㄟˇ	動漫	吸血鬼騎士
吸血鬼騎士	20	ㄒㄧ ㄒㄧㄝˇ ㄍㄨㄟˇ ㄑㄧˊ ㄕˋ	動漫	吸血鬼騎士
吾代忍	11	ㄨˊ ㄉㄞˋ ㄖㄣˇ	動漫	魔人偵探腦嚙涅羅
呂布奉先	15	ㄌㄩˇ ㄅㄨˋ ㄈㄥˋ ㄒㄧㄢ	動漫	終末的女武神
告白	23	ㄍㄠˋ ㄅㄞˊ	動漫	輝夜姬想讓人告白
周防尊	11	ㄓㄡ ㄈㄤˊ ㄗㄨㄣ	動漫	K
周防有希	14	ㄓㄡ ㄈㄤˊ ㄧㄡˇ ㄒㄧ	動漫	不時輕聲地以俄語遮羞的鄰座艾莉同學
周防美琴	12	ㄓㄡ ㄈㄤˊ ㄇㄟˇ ㄑㄧㄣˊ	動漫	校園迷糊大王
和倉結名	11	ㄏㄜˊ ㄘㄤ ㄐㄧㄝˊ ㄇㄧㄥˊ	動漫	花開物語
和泉一織	15	ㄏㄜˊ ㄑㄩㄢˊ ㄧ ㄓ	動漫	IDOLiSH7
和泉三月	11	ㄏㄜˊ ㄑㄩㄢˊ ㄙㄢ ㄩㄝˋ	動漫	IDOLiSH7
和泉正宗	18	ㄏㄜˊ ㄑㄩㄢˊ ㄓㄥˋ ㄗㄨㄥ	動漫	情色漫畫老師
和泉紗霧	15	ㄏㄜˊ ㄑㄩㄢˊ ㄕㄚ ㄨˋ	動漫	情色漫畫老師
和真	15	ㄏㄜˊ ㄓㄣ	動漫	異世界四重奏
和谷義高	12	ㄏㄜˊ ㄍㄨˇ ㄧˋ ㄍㄠ	動漫	棋靈王
咒術迴戰	14	ㄓㄡˋ ㄕㄨˋ ㄏㄨㄟˊ ㄓㄢˋ	動漫	咒術迴戰
咪啪	13	ㄇㄧ ㄆㄚ	動漫	寒蟬鳴泣之時
哆啦A夢	16	ㄉㄨㄛ ㄌㄚ A ㄇㄥˋ	動漫	哆啦A夢
哆啦美	13	ㄉㄨㄛ ㄌㄚ ㄇㄟˇ	動漫	哆啦A夢
哈克	17	ㄏㄚ ㄎㄜˋ	動漫	晨曦公主
哈文特	15	ㄏㄚ ㄨㄣˊ ㄊㄜˋ	動漫	BACCANO!大騷動!
哈普提茲姆	15	ㄏㄚ ㄆㄨˇ ㄊㄧˊ ㄗ ㄇㄨˇ	動漫	機動戰士鋼彈00
哈比	13	ㄏㄚ ㄅㄧˇ	動漫	FAIRY TAIL魔導少年
哈特菲利亞	19	ㄏㄚ ㄊㄜˋ ㄈㄟ ㄌㄧˋ ㄧㄚˇ	動漫	FAIRY TAIL魔導少年
哈魯	11	ㄏㄚ ㄌㄨˇ	動漫	丹特麗安的書架
哥布林殺手	21	ㄍㄜ ㄅㄨˋ ㄌㄧㄣˊ ㄕㄚ ㄕㄡˇ	動漫	哥布林殺手
哪有	22	ㄋㄚˇ ㄧㄡˇ	動漫	我的妹妹哪有這麼可愛
唐之杜志恩	11	ㄊㄤˊ ㄓ ㄉㄨˋ ㄓˋ ㄣ	動漫	PSYCHO-PASS心靈判官
唐澤	12	ㄊㄤˊ ㄗㄜˊ	動漫	男子高中生的日常
喜多川海夢	19	ㄒㄧˇ ㄉㄨㄛ ㄔㄨㄢ ㄏㄞˇ ㄇㄥˋ	動漫	戀上換裝娃娃
喜多郁代	15	ㄒㄧˇ ㄉㄨㄛ ㄩˋ ㄉㄞˋ	動漫	孤獨搖滾
喜歡	17	ㄒㄧˇ ㄏㄨㄢ	動漫	SPY×FAMILY間諜家家酒
喜歡你	20	ㄒㄧˇ ㄏㄨㄢ ㄋㄧˇ	動漫	俺物語!!
喜翠莊	11	ㄒㄧˇ ㄘㄨㄟˋ ㄓㄨㄤ	動漫	花開物語
喬巴	14	ㄑㄧㄠˊ ㄅㄚ	動漫	航海王
喬巴拿	14	ㄑㄧㄠˊ ㄅㄚ ㄋㄚˊ	動漫	JOJO的奇妙冒險
喬斯達	25	ㄑㄧㄠˊ ㄙ ㄉㄚˊ	動漫	JOJO的奇妙冒險
喬瑟夫	21	ㄑㄧㄠˊ ㄙㄜˋ ㄈㄨ	動漫	JOJO的奇妙冒險
喬納森	24	ㄑㄧㄠˊ ㄋㄚˋ ㄙㄣ	動漫	JOJO的奇妙冒險
喬魯諾	14	ㄑㄧㄠˊ ㄌㄨˇ ㄋㄨㄛˋ	動漫	JOJO的奇妙冒險
喰種	13	ㄘㄢ ㄓㄨㄥˇ	動漫	東京喰種
喵太	12	ㄇㄧㄠ ㄊㄞˋ	動漫	記錄的地平線
喵帕斯	12	ㄇㄧㄠ ㄆㄚˋ ㄙ	動漫	悠悠哉哉少女日和
嗚咕	11	ㄨ ㄍㄨ	動漫	Kanon
嘆氣	18	ㄊㄢˋ ㄑㄧˋ	動漫	嘆氣的亡靈想隱退
嘉德麗雅	15	ㄐㄧㄚ ㄉㄜˊ ㄌㄧˋ ㄧㄚˇ	動漫	紫羅蘭永恆花園
嘟嘟	42	ㄉㄨ ㄉㄨ	動漫	中華一番
嘴平伊之助	17	ㄗㄨㄟˇ ㄆㄧㄥˊ ㄧ ㄓ ㄓㄨˋ	動漫	鬼滅之刃
噬魂者	19	ㄕˋ ㄏㄨㄣˊ ㄓㄜˇ	動漫	噬魂者
四乃山	17	ㄙˋ ㄋㄞˇ ㄕㄢ	動漫	屍體如山的死亡遊戲
四之宮	14	ㄙˋ ㄓ ㄍㄨㄥ	動漫	怪獸8號
四宮輝夜	21	ㄙˋ ㄍㄨㄥ ㄏㄨㄟ ㄧㄝˋ	動漫	輝夜姬想讓人告白
四月	24	ㄙˋ ㄩㄝˋ	動漫	四月是你的謊言
四糸乃	11	ㄙˋ ㄇㄧˋ ㄋㄞˇ	動漫	約會大作戰
四葉環	10	ㄙˋ ㄧㄝˋ ㄏㄨㄢˊ	動漫	IDOLiSH7
四谷	11	ㄙˋ ㄍㄨˇ	動漫	相聚一刻
四郎	19	ㄙˋ ㄌㄤˊ	動漫	中華一番
