詞	詞頻	注音
五個	3	ㄨˇ ㄍㄜˋ
五件	3	ㄨˇ ㄐㄧㄢˋ
五份	3	ㄨˇ ㄈㄣˋ
五張	3	ㄨˇ ㄓㄤ
五片	3	ㄨˇ ㄆㄧㄢˋ
五篇	3	ㄨˇ ㄆㄧㄢ
五本	3	ㄨˇ ㄅㄣˇ
五冊	3	ㄨˇ ㄘㄜˋ
五頁	3	ㄨˇ ㄧㄝˋ
五封	3	ㄨˇ ㄈㄥ
五則	3	ㄨˇ ㄗㄜˊ
五筆	3	ㄨˇ ㄅㄧˇ
五項	3	ㄨˇ ㄒㄧㄤˋ
五條	3	ㄨˇ ㄊㄧㄠˊ
五支	3	ㄨˇ ㄓ
五枝	3	ㄨˇ ㄓ
五把	3	ㄨˇ ㄅㄚˇ
五雙	3	ㄨˇ ㄕㄨㄤ
五對	3	ㄨˇ ㄉㄨㄟˋ
五套	3	ㄨˇ ㄊㄠˋ
五組	3	ㄨˇ ㄗㄨˇ
五批	3	ㄨˇ ㄆㄧ
五箱	3	ㄨˇ ㄒㄧㄤ
五包	3	ㄨˇ ㄅㄠ
五袋	3	ㄨˇ ㄉㄞˋ
五盒	3	ㄨˇ ㄏㄜˊ
五瓶	3	ㄨˇ ㄆㄧㄥˊ
五杯	3	ㄨˇ ㄅㄟ
五碗	3	ㄨˇ ㄨㄢˇ
五盤	3	ㄨˇ ㄆㄢˊ
五顆	3	ㄨˇ ㄎㄜ
五粒	3	ㄨˇ ㄌㄧˋ
五塊	3	ㄨˇ ㄎㄨㄞˋ
五根	3	ㄨˇ ㄍㄣ
五束	3	ㄨˇ ㄕㄨˋ
五位	3	ㄨˇ ㄨㄟˋ
五名	3	ㄨˇ ㄇㄧㄥˊ
五人	3	ㄨˇ ㄖㄣˊ
五戶	3	ㄨˇ ㄏㄨˋ
五家	3	ㄨˇ ㄐㄧㄚ
五間	3	ㄨˇ ㄐㄧㄢ
五隻	3	ㄨˇ ㄓ
五頭	3	ㄨˇ ㄊㄡˊ
五匹	3	ㄨˇ ㄆㄧˇ
五次	3	ㄨˇ ㄘˋ
五回	3	ㄨˇ ㄏㄨㄟˊ
五遍	3	ㄨˇ ㄅㄧㄢˋ
五場	3	ㄨˇ ㄔㄤˇ
五節	3	ㄨˇ ㄐㄧㄝˊ
五堂	3	ㄨˇ ㄊㄤˊ
五秒	3	ㄨˇ ㄇㄧㄠˇ
五分	3	ㄨˇ ㄈㄣ
五時	3	ㄨˇ ㄕˊ
五天	3	ㄨˇ ㄊㄧㄢ
五日	3	ㄨˇ ㄖˋ
五週	3	ㄨˇ ㄓㄡ
五月	3	ㄨˇ ㄩㄝˋ
五年	3	ㄨˇ ㄋㄧㄢˊ
五號	3	ㄨˇ ㄏㄠˋ
五樓	3	ㄨˇ ㄌㄡˊ
五室	3	ㄨˇ ㄕˋ
五巷	3	ㄨˇ ㄒㄧㄤˋ
五弄	3	ㄨˇ ㄋㄨㄥˋ
五段	3	ㄨˇ ㄉㄨㄢˋ
五元	3	ㄨˇ ㄩㄢˊ
五角	3	ㄨˇ ㄐㄧㄠˇ
五度	3	ㄨˇ ㄉㄨˋ
五坪	3	ㄨˇ ㄆㄧㄥˊ
五克	3	ㄨˇ ㄎㄜˋ
五噸	3	ㄨˇ ㄉㄨㄣˋ
五趟	3	ㄨˇ ㄊㄤˋ
五班	3	ㄨˇ ㄅㄢ
五站	3	ㄨˇ ㄓㄢˋ
五車	3	ㄨˇ ㄔㄜ
五座	3	ㄨˇ ㄗㄨㄛˋ
五艘	3	ㄨˇ ㄙㄠ
五架	3	ㄨˇ ㄐㄧㄚˋ
五分鐘	3	ㄨˇ ㄈㄣ ㄓㄨㄥ
五小時	3	ㄨˇ ㄒㄧㄠˇ ㄕˊ
五公斤	3	ㄨˇ ㄍㄨㄥ ㄐㄧㄣ
五公克	3	ㄨˇ ㄍㄨㄥ ㄎㄜˋ
五公里	3	ㄨˇ ㄍㄨㄥ ㄌㄧˇ
五公尺	3	ㄨˇ ㄍㄨㄥ ㄔˇ
五公分	3	ㄨˇ ㄍㄨㄥ ㄈㄣ
五毫米	3	ㄨˇ ㄏㄠˊ ㄇㄧˇ
五毫升	3	ㄨˇ ㄏㄠˊ ㄕㄥ
五公升	3	ㄨˇ ㄍㄨㄥ ㄕㄥ
五臺斤	3	ㄨˇ ㄊㄞˊ ㄐㄧㄣ
五平方公尺	3	ㄨˇ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
五平方公里	3	ㄨˇ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
五十	3	ㄨˇ ㄕˊ
五百	3	ㄨˇ ㄅㄞˇ
五千	3	ㄨˇ ㄑㄧㄢ
五萬	3	ㄨˇ ㄨㄢˋ
五億	3	ㄨˇ ㄧˋ
六個	3	ㄌㄧㄡˋ ㄍㄜˋ
六件	3	ㄌㄧㄡˋ ㄐㄧㄢˋ
六份	3	ㄌㄧㄡˋ ㄈㄣˋ
六張	3	ㄌㄧㄡˋ ㄓㄤ
六片	3	ㄌㄧㄡˋ ㄆㄧㄢˋ
六篇	3	ㄌㄧㄡˋ ㄆㄧㄢ
六本	3	ㄌㄧㄡˋ ㄅㄣˇ
六冊	3	ㄌㄧㄡˋ ㄘㄜˋ
六頁	3	ㄌㄧㄡˋ ㄧㄝˋ
六封	3	ㄌㄧㄡˋ ㄈㄥ
六則	3	ㄌㄧㄡˋ ㄗㄜˊ
六筆	3	ㄌㄧㄡˋ ㄅㄧˇ
六項	3	ㄌㄧㄡˋ ㄒㄧㄤˋ
六條	3	ㄌㄧㄡˋ ㄊㄧㄠˊ
六支	3	ㄌㄧㄡˋ ㄓ
六枝	3	ㄌㄧㄡˋ ㄓ
六把	3	ㄌㄧㄡˋ ㄅㄚˇ
六雙	3	ㄌㄧㄡˋ ㄕㄨㄤ
六對	3	ㄌㄧㄡˋ ㄉㄨㄟˋ
六套	3	ㄌㄧㄡˋ ㄊㄠˋ
六組	3	ㄌㄧㄡˋ ㄗㄨˇ
六批	3	ㄌㄧㄡˋ ㄆㄧ
六箱	3	ㄌㄧㄡˋ ㄒㄧㄤ
六包	3	ㄌㄧㄡˋ ㄅㄠ
六袋	3	ㄌㄧㄡˋ ㄉㄞˋ
六盒	3	ㄌㄧㄡˋ ㄏㄜˊ
六瓶	3	ㄌㄧㄡˋ ㄆㄧㄥˊ
六杯	3	ㄌㄧㄡˋ ㄅㄟ
六碗	3	ㄌㄧㄡˋ ㄨㄢˇ
六盤	3	ㄌㄧㄡˋ ㄆㄢˊ
六顆	3	ㄌㄧㄡˋ ㄎㄜ
六粒	3	ㄌㄧㄡˋ ㄌㄧˋ
六塊	3	ㄌㄧㄡˋ ㄎㄨㄞˋ
六根	3	ㄌㄧㄡˋ ㄍㄣ
六束	3	ㄌㄧㄡˋ ㄕㄨˋ
六位	3	ㄌㄧㄡˋ ㄨㄟˋ
六名	3	ㄌㄧㄡˋ ㄇㄧㄥˊ
六人	3	ㄌㄧㄡˋ ㄖㄣˊ
六戶	3	ㄌㄧㄡˋ ㄏㄨˋ
六家	3	ㄌㄧㄡˋ ㄐㄧㄚ
六間	3	ㄌㄧㄡˋ ㄐㄧㄢ
六隻	3	ㄌㄧㄡˋ ㄓ
六頭	3	ㄌㄧㄡˋ ㄊㄡˊ
六匹	3	ㄌㄧㄡˋ ㄆㄧˇ
六次	3	ㄌㄧㄡˋ ㄘˋ
六回	3	ㄌㄧㄡˋ ㄏㄨㄟˊ
六遍	3	ㄌㄧㄡˋ ㄅㄧㄢˋ
六場	3	ㄌㄧㄡˋ ㄔㄤˇ
六節	3	ㄌㄧㄡˋ ㄐㄧㄝˊ
六堂	3	ㄌㄧㄡˋ ㄊㄤˊ
六秒	3	ㄌㄧㄡˋ ㄇㄧㄠˇ
六分	3	ㄌㄧㄡˋ ㄈㄣ
六時	3	ㄌㄧㄡˋ ㄕˊ
六天	3	ㄌㄧㄡˋ ㄊㄧㄢ
六日	3	ㄌㄧㄡˋ ㄖˋ
六週	3	ㄌㄧㄡˋ ㄓㄡ
六月	3	ㄌㄧㄡˋ ㄩㄝˋ
六年	3	ㄌㄧㄡˋ ㄋㄧㄢˊ
六號	3	ㄌㄧㄡˋ ㄏㄠˋ
六樓	3	ㄌㄧㄡˋ ㄌㄡˊ
六室	3	ㄌㄧㄡˋ ㄕˋ
六巷	3	ㄌㄧㄡˋ ㄒㄧㄤˋ
六弄	3	ㄌㄧㄡˋ ㄋㄨㄥˋ
六段	3	ㄌㄧㄡˋ ㄉㄨㄢˋ
六元	3	ㄌㄧㄡˋ ㄩㄢˊ
六角	3	ㄌㄧㄡˋ ㄐㄧㄠˇ
六度	3	ㄌㄧㄡˋ ㄉㄨˋ
六坪	3	ㄌㄧㄡˋ ㄆㄧㄥˊ
六克	3	ㄌㄧㄡˋ ㄎㄜˋ
六噸	3	ㄌㄧㄡˋ ㄉㄨㄣˋ
六趟	3	ㄌㄧㄡˋ ㄊㄤˋ
六班	3	ㄌㄧㄡˋ ㄅㄢ
六站	3	ㄌㄧㄡˋ ㄓㄢˋ
六車	3	ㄌㄧㄡˋ ㄔㄜ
六座	3	ㄌㄧㄡˋ ㄗㄨㄛˋ
六艘	3	ㄌㄧㄡˋ ㄙㄠ
六架	3	ㄌㄧㄡˋ ㄐㄧㄚˋ
六分鐘	3	ㄌㄧㄡˋ ㄈㄣ ㄓㄨㄥ
六小時	3	ㄌㄧㄡˋ ㄒㄧㄠˇ ㄕˊ
六公斤	3	ㄌㄧㄡˋ ㄍㄨㄥ ㄐㄧㄣ
六公克	3	ㄌㄧㄡˋ ㄍㄨㄥ ㄎㄜˋ
六公里	3	ㄌㄧㄡˋ ㄍㄨㄥ ㄌㄧˇ
六公尺	3	ㄌㄧㄡˋ ㄍㄨㄥ ㄔˇ
六公分	3	ㄌㄧㄡˋ ㄍㄨㄥ ㄈㄣ
六毫米	3	ㄌㄧㄡˋ ㄏㄠˊ ㄇㄧˇ
六毫升	3	ㄌㄧㄡˋ ㄏㄠˊ ㄕㄥ
六公升	3	ㄌㄧㄡˋ ㄍㄨㄥ ㄕㄥ
六臺斤	3	ㄌㄧㄡˋ ㄊㄞˊ ㄐㄧㄣ
六平方公尺	3	ㄌㄧㄡˋ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
六平方公里	3	ㄌㄧㄡˋ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
六十	3	ㄌㄧㄡˋ ㄕˊ
六百	3	ㄌㄧㄡˋ ㄅㄞˇ
六千	3	ㄌㄧㄡˋ ㄑㄧㄢ
六萬	3	ㄌㄧㄡˋ ㄨㄢˋ
六億	3	ㄌㄧㄡˋ ㄧˋ
七個	3	ㄑㄧ ㄍㄜˋ
七件	3	ㄑㄧ ㄐㄧㄢˋ
七份	3	ㄑㄧ ㄈㄣˋ
七張	3	ㄑㄧ ㄓㄤ
七片	3	ㄑㄧ ㄆㄧㄢˋ
七篇	3	ㄑㄧ ㄆㄧㄢ
七本	3	ㄑㄧ ㄅㄣˇ
七冊	3	ㄑㄧ ㄘㄜˋ
七頁	3	ㄑㄧ ㄧㄝˋ
七封	3	ㄑㄧ ㄈㄥ
七則	3	ㄑㄧ ㄗㄜˊ
七筆	3	ㄑㄧ ㄅㄧˇ
七項	3	ㄑㄧ ㄒㄧㄤˋ
七條	3	ㄑㄧ ㄊㄧㄠˊ
七支	3	ㄑㄧ ㄓ
七枝	3	ㄑㄧ ㄓ
七把	3	ㄑㄧ ㄅㄚˇ
七雙	3	ㄑㄧ ㄕㄨㄤ
七對	3	ㄑㄧ ㄉㄨㄟˋ
七套	3	ㄑㄧ ㄊㄠˋ
七組	3	ㄑㄧ ㄗㄨˇ
七批	3	ㄑㄧ ㄆㄧ
七箱	3	ㄑㄧ ㄒㄧㄤ
七包	3	ㄑㄧ ㄅㄠ
七袋	3	ㄑㄧ ㄉㄞˋ
七盒	3	ㄑㄧ ㄏㄜˊ
七瓶	3	ㄑㄧ ㄆㄧㄥˊ
七杯	3	ㄑㄧ ㄅㄟ
七碗	3	ㄑㄧ ㄨㄢˇ
七盤	3	ㄑㄧ ㄆㄢˊ
七顆	3	ㄑㄧ ㄎㄜ
七粒	3	ㄑㄧ ㄌㄧˋ
七塊	3	ㄑㄧ ㄎㄨㄞˋ
七根	3	ㄑㄧ ㄍㄣ
七束	3	ㄑㄧ ㄕㄨˋ
七位	3	ㄑㄧ ㄨㄟˋ
七名	3	ㄑㄧ ㄇㄧㄥˊ
七人	3	ㄑㄧ ㄖㄣˊ
七戶	3	ㄑㄧ ㄏㄨˋ
七家	3	ㄑㄧ ㄐㄧㄚ
七間	3	ㄑㄧ ㄐㄧㄢ
七隻	3	ㄑㄧ ㄓ
七頭	3	ㄑㄧ ㄊㄡˊ
七匹	3	ㄑㄧ ㄆㄧˇ
七次	3	ㄑㄧ ㄘˋ
七回	3	ㄑㄧ ㄏㄨㄟˊ
七遍	3	ㄑㄧ ㄅㄧㄢˋ
七場	3	ㄑㄧ ㄔㄤˇ
七節	3	ㄑㄧ ㄐㄧㄝˊ
七堂	3	ㄑㄧ ㄊㄤˊ
七秒	3	ㄑㄧ ㄇㄧㄠˇ
七分	3	ㄑㄧ ㄈㄣ
七時	3	ㄑㄧ ㄕˊ
七天	3	ㄑㄧ ㄊㄧㄢ
七日	3	ㄑㄧ ㄖˋ
七週	3	ㄑㄧ ㄓㄡ
七月	3	ㄑㄧ ㄩㄝˋ
七年	3	ㄑㄧ ㄋㄧㄢˊ
七號	3	ㄑㄧ ㄏㄠˋ
七樓	3	ㄑㄧ ㄌㄡˊ
七室	3	ㄑㄧ ㄕˋ
七巷	3	ㄑㄧ ㄒㄧㄤˋ
七弄	3	ㄑㄧ ㄋㄨㄥˋ
七段	3	ㄑㄧ ㄉㄨㄢˋ
七元	3	ㄑㄧ ㄩㄢˊ
七角	3	ㄑㄧ ㄐㄧㄠˇ
七度	3	ㄑㄧ ㄉㄨˋ
七坪	3	ㄑㄧ ㄆㄧㄥˊ
七克	3	ㄑㄧ ㄎㄜˋ
七噸	3	ㄑㄧ ㄉㄨㄣˋ
七趟	3	ㄑㄧ ㄊㄤˋ
七班	3	ㄑㄧ ㄅㄢ
七站	3	ㄑㄧ ㄓㄢˋ
七車	3	ㄑㄧ ㄔㄜ
七座	3	ㄑㄧ ㄗㄨㄛˋ
七艘	3	ㄑㄧ ㄙㄠ
七架	3	ㄑㄧ ㄐㄧㄚˋ
七分鐘	3	ㄑㄧ ㄈㄣ ㄓㄨㄥ
七小時	3	ㄑㄧ ㄒㄧㄠˇ ㄕˊ
七公斤	3	ㄑㄧ ㄍㄨㄥ ㄐㄧㄣ
七公克	3	ㄑㄧ ㄍㄨㄥ ㄎㄜˋ
七公里	3	ㄑㄧ ㄍㄨㄥ ㄌㄧˇ
七公尺	3	ㄑㄧ ㄍㄨㄥ ㄔˇ
七公分	3	ㄑㄧ ㄍㄨㄥ ㄈㄣ
七毫米	3	ㄑㄧ ㄏㄠˊ ㄇㄧˇ
七毫升	3	ㄑㄧ ㄏㄠˊ ㄕㄥ
七公升	3	ㄑㄧ ㄍㄨㄥ ㄕㄥ
七臺斤	3	ㄑㄧ ㄊㄞˊ ㄐㄧㄣ
七平方公尺	3	ㄑㄧ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
七平方公里	3	ㄑㄧ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
七十	3	ㄑㄧ ㄕˊ
七百	3	ㄑㄧ ㄅㄞˇ
七千	3	ㄑㄧ ㄑㄧㄢ
七萬	3	ㄑㄧ ㄨㄢˋ
七億	3	ㄑㄧ ㄧˋ
八個	3	ㄅㄚ ㄍㄜˋ
八件	3	ㄅㄚ ㄐㄧㄢˋ
八份	3	ㄅㄚ ㄈㄣˋ
八張	3	ㄅㄚ ㄓㄤ
八片	3	ㄅㄚ ㄆㄧㄢˋ
八篇	3	ㄅㄚ ㄆㄧㄢ
八本	3	ㄅㄚ ㄅㄣˇ
八冊	3	ㄅㄚ ㄘㄜˋ
八頁	3	ㄅㄚ ㄧㄝˋ
八封	3	ㄅㄚ ㄈㄥ
八則	3	ㄅㄚ ㄗㄜˊ
八筆	3	ㄅㄚ ㄅㄧˇ
八項	3	ㄅㄚ ㄒㄧㄤˋ
八條	3	ㄅㄚ ㄊㄧㄠˊ
八支	3	ㄅㄚ ㄓ
八枝	3	ㄅㄚ ㄓ
八把	3	ㄅㄚ ㄅㄚˇ
八雙	3	ㄅㄚ ㄕㄨㄤ
八對	3	ㄅㄚ ㄉㄨㄟˋ
八套	3	ㄅㄚ ㄊㄠˋ
八組	3	ㄅㄚ ㄗㄨˇ
八批	3	ㄅㄚ ㄆㄧ
八箱	3	ㄅㄚ ㄒㄧㄤ
八包	3	ㄅㄚ ㄅㄠ
八袋	3	ㄅㄚ ㄉㄞˋ
八盒	3	ㄅㄚ ㄏㄜˊ
八瓶	3	ㄅㄚ ㄆㄧㄥˊ
八杯	3	ㄅㄚ ㄅㄟ
八碗	3	ㄅㄚ ㄨㄢˇ
八盤	3	ㄅㄚ ㄆㄢˊ
八顆	3	ㄅㄚ ㄎㄜ
八粒	3	ㄅㄚ ㄌㄧˋ
八塊	3	ㄅㄚ ㄎㄨㄞˋ
八根	3	ㄅㄚ ㄍㄣ
八束	3	ㄅㄚ ㄕㄨˋ
八位	3	ㄅㄚ ㄨㄟˋ
八名	3	ㄅㄚ ㄇㄧㄥˊ
八人	3	ㄅㄚ ㄖㄣˊ
八戶	3	ㄅㄚ ㄏㄨˋ
八家	3	ㄅㄚ ㄐㄧㄚ
八間	3	ㄅㄚ ㄐㄧㄢ
八隻	3	ㄅㄚ ㄓ
八頭	3	ㄅㄚ ㄊㄡˊ
八匹	3	ㄅㄚ ㄆㄧˇ
八次	3	ㄅㄚ ㄘˋ
八回	3	ㄅㄚ ㄏㄨㄟˊ
八遍	3	ㄅㄚ ㄅㄧㄢˋ
八場	3	ㄅㄚ ㄔㄤˇ
八節	3	ㄅㄚ ㄐㄧㄝˊ
八堂	3	ㄅㄚ ㄊㄤˊ
八秒	3	ㄅㄚ ㄇㄧㄠˇ
八分	3	ㄅㄚ ㄈㄣ
八時	3	ㄅㄚ ㄕˊ
八天	3	ㄅㄚ ㄊㄧㄢ
八日	3	ㄅㄚ ㄖˋ
八週	3	ㄅㄚ ㄓㄡ
八月	3	ㄅㄚ ㄩㄝˋ
八年	3	ㄅㄚ ㄋㄧㄢˊ
八號	3	ㄅㄚ ㄏㄠˋ
八樓	3	ㄅㄚ ㄌㄡˊ
八室	3	ㄅㄚ ㄕˋ
八巷	3	ㄅㄚ ㄒㄧㄤˋ
八弄	3	ㄅㄚ ㄋㄨㄥˋ
八段	3	ㄅㄚ ㄉㄨㄢˋ
八元	3	ㄅㄚ ㄩㄢˊ
八角	3	ㄅㄚ ㄐㄧㄠˇ
八度	3	ㄅㄚ ㄉㄨˋ
八坪	3	ㄅㄚ ㄆㄧㄥˊ
八克	3	ㄅㄚ ㄎㄜˋ
八噸	3	ㄅㄚ ㄉㄨㄣˋ
八趟	3	ㄅㄚ ㄊㄤˋ
八班	3	ㄅㄚ ㄅㄢ
八站	3	ㄅㄚ ㄓㄢˋ
八車	3	ㄅㄚ ㄔㄜ
八座	3	ㄅㄚ ㄗㄨㄛˋ
八艘	3	ㄅㄚ ㄙㄠ
八架	3	ㄅㄚ ㄐㄧㄚˋ
八分鐘	3	ㄅㄚ ㄈㄣ ㄓㄨㄥ
八小時	3	ㄅㄚ ㄒㄧㄠˇ ㄕˊ
八公斤	3	ㄅㄚ ㄍㄨㄥ ㄐㄧㄣ
八公克	3	ㄅㄚ ㄍㄨㄥ ㄎㄜˋ
八公里	3	ㄅㄚ ㄍㄨㄥ ㄌㄧˇ
八公尺	3	ㄅㄚ ㄍㄨㄥ ㄔˇ
八公分	3	ㄅㄚ ㄍㄨㄥ ㄈㄣ
八毫米	3	ㄅㄚ ㄏㄠˊ ㄇㄧˇ
八毫升	3	ㄅㄚ ㄏㄠˊ ㄕㄥ
八公升	3	ㄅㄚ ㄍㄨㄥ ㄕㄥ
八臺斤	3	ㄅㄚ ㄊㄞˊ ㄐㄧㄣ
八平方公尺	3	ㄅㄚ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
八平方公里	3	ㄅㄚ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
八十	3	ㄅㄚ ㄕˊ
八百	3	ㄅㄚ ㄅㄞˇ
八千	3	ㄅㄚ ㄑㄧㄢ
八萬	3	ㄅㄚ ㄨㄢˋ
八億	3	ㄅㄚ ㄧˋ
九個	3	ㄐㄧㄡˇ ㄍㄜˋ
九件	3	ㄐㄧㄡˇ ㄐㄧㄢˋ
九份	3	ㄐㄧㄡˇ ㄈㄣˋ
九張	3	ㄐㄧㄡˇ ㄓㄤ
九片	3	ㄐㄧㄡˇ ㄆㄧㄢˋ
九篇	3	ㄐㄧㄡˇ ㄆㄧㄢ
九本	3	ㄐㄧㄡˇ ㄅㄣˇ
九冊	3	ㄐㄧㄡˇ ㄘㄜˋ
九頁	3	ㄐㄧㄡˇ ㄧㄝˋ
九封	3	ㄐㄧㄡˇ ㄈㄥ
九則	3	ㄐㄧㄡˇ ㄗㄜˊ
九筆	3	ㄐㄧㄡˇ ㄅㄧˇ
九項	3	ㄐㄧㄡˇ ㄒㄧㄤˋ
九條	3	ㄐㄧㄡˇ ㄊㄧㄠˊ
九支	3	ㄐㄧㄡˇ ㄓ
九枝	3	ㄐㄧㄡˇ ㄓ
九把	3	ㄐㄧㄡˇ ㄅㄚˇ
九雙	3	ㄐㄧㄡˇ ㄕㄨㄤ
九對	3	ㄐㄧㄡˇ ㄉㄨㄟˋ
九套	3	ㄐㄧㄡˇ ㄊㄠˋ
九組	3	ㄐㄧㄡˇ ㄗㄨˇ
九批	3	ㄐㄧㄡˇ ㄆㄧ
九箱	3	ㄐㄧㄡˇ ㄒㄧㄤ
九包	3	ㄐㄧㄡˇ ㄅㄠ
九袋	3	ㄐㄧㄡˇ ㄉㄞˋ
九盒	3	ㄐㄧㄡˇ ㄏㄜˊ
九瓶	3	ㄐㄧㄡˇ ㄆㄧㄥˊ
九杯	3	ㄐㄧㄡˇ ㄅㄟ
九碗	3	ㄐㄧㄡˇ ㄨㄢˇ
九盤	3	ㄐㄧㄡˇ ㄆㄢˊ
九顆	3	ㄐㄧㄡˇ ㄎㄜ
九粒	3	ㄐㄧㄡˇ ㄌㄧˋ
九塊	3	ㄐㄧㄡˇ ㄎㄨㄞˋ
九根	3	ㄐㄧㄡˇ ㄍㄣ
九束	3	ㄐㄧㄡˇ ㄕㄨˋ
九位	3	ㄐㄧㄡˇ ㄨㄟˋ
九名	3	ㄐㄧㄡˇ ㄇㄧㄥˊ
九人	3	ㄐㄧㄡˇ ㄖㄣˊ
九戶	3	ㄐㄧㄡˇ ㄏㄨˋ
九家	3	ㄐㄧㄡˇ ㄐㄧㄚ
九間	3	ㄐㄧㄡˇ ㄐㄧㄢ
九隻	3	ㄐㄧㄡˇ ㄓ
九頭	3	ㄐㄧㄡˇ ㄊㄡˊ
九匹	3	ㄐㄧㄡˇ ㄆㄧˇ
九次	3	ㄐㄧㄡˇ ㄘˋ
九回	3	ㄐㄧㄡˇ ㄏㄨㄟˊ
九遍	3	ㄐㄧㄡˇ ㄅㄧㄢˋ
九場	3	ㄐㄧㄡˇ ㄔㄤˇ
九節	3	ㄐㄧㄡˇ ㄐㄧㄝˊ
九堂	3	ㄐㄧㄡˇ ㄊㄤˊ
九秒	3	ㄐㄧㄡˇ ㄇㄧㄠˇ
九分	3	ㄐㄧㄡˇ ㄈㄣ
九時	3	ㄐㄧㄡˇ ㄕˊ
九天	3	ㄐㄧㄡˇ ㄊㄧㄢ
九日	3	ㄐㄧㄡˇ ㄖˋ
九週	3	ㄐㄧㄡˇ ㄓㄡ
九月	3	ㄐㄧㄡˇ ㄩㄝˋ
九年	3	ㄐㄧㄡˇ ㄋㄧㄢˊ
九號	3	ㄐㄧㄡˇ ㄏㄠˋ
九樓	3	ㄐㄧㄡˇ ㄌㄡˊ
九室	3	ㄐㄧㄡˇ ㄕˋ
九巷	3	ㄐㄧㄡˇ ㄒㄧㄤˋ
九弄	3	ㄐㄧㄡˇ ㄋㄨㄥˋ
九段	3	ㄐㄧㄡˇ ㄉㄨㄢˋ
九元	3	ㄐㄧㄡˇ ㄩㄢˊ
九角	3	ㄐㄧㄡˇ ㄐㄧㄠˇ
九度	3	ㄐㄧㄡˇ ㄉㄨˋ
九坪	3	ㄐㄧㄡˇ ㄆㄧㄥˊ
九克	3	ㄐㄧㄡˇ ㄎㄜˋ
九噸	3	ㄐㄧㄡˇ ㄉㄨㄣˋ
九趟	3	ㄐㄧㄡˇ ㄊㄤˋ
九班	3	ㄐㄧㄡˇ ㄅㄢ
九站	3	ㄐㄧㄡˇ ㄓㄢˋ
九車	3	ㄐㄧㄡˇ ㄔㄜ
九座	3	ㄐㄧㄡˇ ㄗㄨㄛˋ
九艘	3	ㄐㄧㄡˇ ㄙㄠ
九架	3	ㄐㄧㄡˇ ㄐㄧㄚˋ
九分鐘	3	ㄐㄧㄡˇ ㄈㄣ ㄓㄨㄥ
九小時	3	ㄐㄧㄡˇ ㄒㄧㄠˇ ㄕˊ
九公斤	3	ㄐㄧㄡˇ ㄍㄨㄥ ㄐㄧㄣ
九公克	3	ㄐㄧㄡˇ ㄍㄨㄥ ㄎㄜˋ
九公里	3	ㄐㄧㄡˇ ㄍㄨㄥ ㄌㄧˇ
九公尺	3	ㄐㄧㄡˇ ㄍㄨㄥ ㄔˇ
九公分	3	ㄐㄧㄡˇ ㄍㄨㄥ ㄈㄣ
九毫米	3	ㄐㄧㄡˇ ㄏㄠˊ ㄇㄧˇ
九毫升	3	ㄐㄧㄡˇ ㄏㄠˊ ㄕㄥ
九公升	3	ㄐㄧㄡˇ ㄍㄨㄥ ㄕㄥ
九臺斤	3	ㄐㄧㄡˇ ㄊㄞˊ ㄐㄧㄣ
九平方公尺	3	ㄐㄧㄡˇ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
九平方公里	3	ㄐㄧㄡˇ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
九十	3	ㄐㄧㄡˇ ㄕˊ
九百	3	ㄐㄧㄡˇ ㄅㄞˇ
九千	3	ㄐㄧㄡˇ ㄑㄧㄢ
九萬	3	ㄐㄧㄡˇ ㄨㄢˋ
九億	3	ㄐㄧㄡˇ ㄧˋ
十個	3	ㄕˊ ㄍㄜˋ
十件	3	ㄕˊ ㄐㄧㄢˋ
十份	3	ㄕˊ ㄈㄣˋ
十張	3	ㄕˊ ㄓㄤ
十片	3	ㄕˊ ㄆㄧㄢˋ
十篇	3	ㄕˊ ㄆㄧㄢ
十本	3	ㄕˊ ㄅㄣˇ
十冊	3	ㄕˊ ㄘㄜˋ
十頁	3	ㄕˊ ㄧㄝˋ
十封	3	ㄕˊ ㄈㄥ
十則	3	ㄕˊ ㄗㄜˊ
十筆	3	ㄕˊ ㄅㄧˇ
十項	3	ㄕˊ ㄒㄧㄤˋ
十條	3	ㄕˊ ㄊㄧㄠˊ
十支	3	ㄕˊ ㄓ
十枝	3	ㄕˊ ㄓ
十把	3	ㄕˊ ㄅㄚˇ
十雙	3	ㄕˊ ㄕㄨㄤ
十對	3	ㄕˊ ㄉㄨㄟˋ
十套	3	ㄕˊ ㄊㄠˋ
十組	3	ㄕˊ ㄗㄨˇ
十批	3	ㄕˊ ㄆㄧ
